place_name,maps_url,rating,review_count,scraped_swiggy,swiggy_rest_id,scraped_google
NKT Cafe,https://www.google.com/maps/place/NKT+Cafe/data=!4m7!3m6!1s0x3bae15b0286a382d:0x53bc40068885e2e7!8m2!3d12.9224359!4d77.6338858!16s%2Fg%2F11rq3wdz1p!19sChIJLThqKLAVrjsR5-KFiAZAvFM,4.6,72,true,
Star Cafe,https://www.google.com/maps/place/Star+Cafe/data=!4m7!3m6!1s0x3bae15cf6f0a6099:0xa7a21f97b350412f!8m2!3d12.9173192!4d77.6338979!16s%2Fg%2F11fj5d_zkc!19sChIJmWAKb88VrjsRL0FQs5cfoqc,4.5,50,true,759195
Moolya Cafe | HSR Layout,https://www.google.com/maps/place/Moolya+Cafe+%7C+HSR+Layout/data=!4m7!3m6!1s0x3bae15560fcd6833:0x7e90470076066269!8m2!3d12.915395!4d77.634971!16s%2Fg%2F11s8jx8mxn!19sChIJM2jND1YVrjsRaWIGdgBHkH4,4.8,11,true,
To Be Continued Sky Lounge TBC,https://www.google.com/maps/place/To+Be+Continued+Sky+Lounge+TBC/data=!4m7!3m6!1s0x3bae148067c5d077:0x937c7e49703df832!8m2!3d12.9228924!4d77.6514497!16s%2Fg%2F11gdpy03sh!19sChIJd9DFZ4AUrjsRMvg9cEl-fJM,4.4,14306,true,160085
Chai Sutta Bar HSR Bangalore,https://www.google.com/maps/place/Chai+Sutta+Bar+HSR+Bangalore/data=!4m7!3m6!1s0x3bae158a5ce445d7:0x17c4522b3dac3f05!8m2!3d12.9196894!4d77.6498507!16s%2Fg%2F11krrjkwrt!19sChIJ10XkXIoVrjsRBT-sPStSxBc,3.9,505,true,
Teazone Cafe,https://www.google.com/maps/place/Teazone+Cafe/data=!4m7!3m6!1s0x3bae15b13bfc3c1b:0x286aa63e1fa148dc!8m2!3d12.9209637!4d77.6472935!16s%2Fg%2F11ptv720l1!19sChIJGzz8O7EVrjsR3EihHz6maig,4.5,70,true,
BeCafé,https://www.google.com/maps/place/BeCaf%C3%A9/data=!4m7!3m6!1s0x3bae1500107b05f3:0x32ff0220126e8dc0!8m2!3d12.9200402!4d77.651395!16s%2Fg%2F11y6hx634b!19sChIJ8wV7EAAVrjsRwI1uEiAC_zI,4.5,51,true,1083046
Retro HSR | Cold Coffee | 9to11pm,https://www.google.com/maps/place/Retro+HSR+%7C+Cold+Coffee+%7C+9to11pm/data=!4m7!3m6!1s0x3bae15d4490610d7:0x63f3339796dd18a9!8m2!3d12.914132!4d77.651779!16s%2Fg%2F11v69t38nn!19sChIJ1xAGSdQVrjsRqRjdlpcz82M,4.4,30,true,
The Hole In The Wall Cafe,https://www.google.com/maps/place/The+Hole+In+The+Wall+Cafe/data=!4m7!3m6!1s0x3bae1467f472d4cb:0x51e2bde54ef70494!8m2!3d12.9347054!4d77.6256024!16s%2Fg%2F1td1swx6!19sChIJy9Ry9GcUrjsRlAT3TuW94lE,4.3,20799,true,232
Silaa The Garden Cafe HSR LAYOUT,https://www.google.com/maps/place/Silaa+The+Garden+Cafe+HSR+LAYOUT/data=!4m7!3m6!1s0x3bae150b3a1a5a33:0x6e53fc7addec291d!8m2!3d12.912436!4d77.639327!16s%2Fg%2F11yqlz7216!19sChIJM1oaOgsVrjsRHSns3Xr8U24,4.8,1277,true,
MS BRINDAVANA CAFE,https://www.google.com/maps/place/MS+BRINDAVANA+CAFE/data=!4m7!3m6!1s0x3bae150027b65f9b:0xea5160da0f734e45!8m2!3d12.8941879!4d77.6342428!16s%2Fg%2F11vz0q55sq!19sChIJm1-2JwAVrjsRRU5zD9pgUeo,4.7,21,true,
"INDIAN COFFEE HOUSE/ICH & MULTICUISINE RESTAURANT, HSR LAYOUT, BANGALORE","https://www.google.com/maps/place/INDIAN+COFFEE+HOUSE%2FICH+%26+MULTICUISINE+RESTAURANT,+HSR+LAYOUT,+BANGALORE/data=!4m7!3m6!1s0x3bae15211ef1f949:0x56957c0de3b5eda5!8m2!3d12.9091979!4d77.6447084!16s%2Fg%2F11vlnfyl1_!19sChIJSfnxHiEVrjsRpe214w18lVY",4.2,1647,true,
Chaayos Cafe at HSR Layout,https://www.google.com/maps/place/Chaayos+Cafe+at+HSR+Layout/data=!4m7!3m6!1s0x3bae15097c0199b9:0x7891ff87f78ccf5d!8m2!3d12.9124121!4d77.6517491!16s%2Fg%2F11qp1wc5p2!19sChIJuZkBfAkVrjsRXc-M94f_kXg,3.9,1541,true,
NETRA CAFE,https://www.google.com/maps/place/NETRA+CAFE/data=!4m7!3m6!1s0x3bae15007dd5cbfd:0x29de5cea0663c79a!8m2!3d12.9120449!4d77.6491168!16s%2Fg%2F11y7fkvqhf!19sChIJ_cvVfQAVrjsRmsdjBupc3ik,4.5,44,true,
Rock View Family Restaurant and Bar,https://www.google.com/maps/place/Rock+View+Family+Restaurant+and+Bar/data=!4m7!3m6!1s0x3bae14a02b264c37:0x1ec7c1db6d010803!8m2!3d12.9019212!4d77.6508068!16s%2Fg%2F12hsf0vkl!19sChIJN0wmK6AUrjsRAwgBbdvBxx4,3.7,1302,true,
SM Grand Cafe,https://www.google.com/maps/place/SM+Grand+Cafe/data=!4m7!3m6!1s0x3bae137b7d27a9dd:0x4f8b7a28ac585d37!8m2!3d12.8939257!4d77.6632291!16s%2Fg%2F11rsd19xb4!19sChIJ3aknfXsTrjsRN11YrCh6i08,4.7,104,true,492564
Happy Cafe,https://www.google.com/maps/place/Happy+Cafe/data=!4m7!3m6!1s0x3bae13743a817c05:0x6244bed0ea4bbc54!8m2!3d12.9036112!4d77.6620572!16s%2Fg%2F11s5bg2444!19sChIJBXyBOnQTrjsRVLxL6tC-RGI,4.1,62,true,830948
TEA HOUSE,https://www.google.com/maps/place/TEA+HOUSE/data=!4m7!3m6!1s0x3bae1580520b9ec3:0x732c1bfeabd5a1f8!8m2!3d12.9108048!4d77.632643!16s%2Fg%2F11q3px_pmw!19sChIJw54LUoAVrjsR-KHVq_4bLHM,4.6,698,true,1000443
CHIKMAGALUR COFFEE,https://www.google.com/maps/place/CHIKMAGALUR+COFFEE/data=!4m7!3m6!1s0x3bae15f9bd7115c7:0x57fd6595e58f6025!8m2!3d12.9087241!4d77.650778!16s%2Fg%2F11gsbds1l9!19sChIJxxVxvfkVrjsRJWCP5ZVl_Vc,4.5,20,true,345783
Coffee & More,https://www.google.com/maps/place/Coffee+%26+More/data=!4m7!3m6!1s0x3bae15e7387b5533:0xb2c0261de9b233bc!8m2!3d12.908592!4d77.649945!16s%2Fg%2F11t716sqdr!19sChIJM1V7OOcVrjsRvDOy6R0mwLI,4.4,25,true,724139
café goBoho,https://www.google.com/maps/place/caf%C3%A9+goBoho/data=!4m7!3m6!1s0x3bae1539feaa884b:0x723357c0fe651005!8m2!3d12.908496!4d77.6492206!16s%2Fg%2F11xdrj335v!19sChIJS4iq_jkVrjsRBRBl_sBXM3I,5.0,20,true,1364530
Silaa The Garden Cafe HSR LAYOUT,https://www.google.com/maps/place/Silaa+The+Garden+Cafe+HSR+LAYOUT/data=!4m7!3m6!1s0x3bae150b3a1a5a33:0x6e53fc7addec291d!8m2!3d12.9124361!4d77.6393267!16s%2Fg%2F11yqlz7216!19sChIJM1oaOgsVrjsRHSns3Xr8U24,4.8,1284,true,
Tealogy Cafe HSR Layout 3rd Sector,https://www.google.com/maps/place/Tealogy+Cafe+HSR+Layout+3rd+Sector/data=!4m7!3m6!1s0x3bae15fd6bf7c47b:0x885f498e4d059e41!8m2!3d12.9090429!4d77.6429796!16s%2Fg%2F11xzdw_62y!19sChIJe8T3a_0VrjsRQZ4FTY5JX4g,4.7,91,true,
1966 - The Mumbai Cafe @ HSR,https://www.google.com/maps/place/1966+-+The+Mumbai+Cafe+@+HSR/data=!4m7!3m6!1s0x3bae158889648cdd:0xcfbf925eff5c1e92!8m2!3d12.9055529!4d77.6511074!16s%2Fg%2F11yhrbjt8r!19sChIJ3YxkiYgVrjsRkh5c_16Sv88,4.2,65,true,
Vrindavana Cafe - HSR,https://www.google.com/maps/place/Vrindavana+Cafe+-+HSR/data=!4m7!3m6!1s0x3bae15f30905b841:0xf14d73ef15d94dd6!8m2!3d12.9137131!4d77.6275398!16s%2Fg%2F11yqsy03jb!19sChIJQbgFCfMVrjsR1k3ZFe9zTfE,4.7,14,true,
